id,asset_id,title,url,terms,phrases,strong,error
130042,90140,ANGORA RABBIT FARM,https://www.britishpathe.com/asset/90140/,rabbi,rabbi,1,
130076,68568,JEWS AND ARABS CLASH IN PALESTINE,https://www.britishpathe.com/asset/68568/,jew,,0,
132076,104932,ARABS / JEWS,https://www.britishpathe.com/asset/104932/,jew,,0,
132483,187623,RABBIT COATS (issue title is LET,https://www.britishpathe.com/asset/187623/,rabbi,rabbi,1,
133424,259599,"Jewish Life Berlin, Vienna, and Prague",https://www.britishpathe.com/asset/259599/,"jew,jewish",jewish,1,
133499,259561,Jewish Life in Central Europe and Palestine,https://www.britishpathe.com/asset/259561/,"jew,jewish",jewish,1,
134032,95958,GERMAN JEWS REMEMBER HOLOCAUST,https://www.britishpathe.com/asset/95958/,jew,holocaust,1,
134167,187159,RABBITS (issue title - ALL IN FAVOUR),https://www.britishpathe.com/asset/187159/,rabbi,rabbi,1,
135398,259403,Jewish Wedding in the USA,https://www.britishpathe.com/asset/259403/,"jew,jewish",jewish,1,
136557,83354,EAR-RINGS [sic] (aka JUNK JEWELLERY),https://www.britishpathe.com/asset/83354/,jew,,0,
138196,191853,CROWN JEWELS,https://www.britishpathe.com/asset/191853/,jew,,0,
138276,191773,JEWELLERY ON SHOW IN BRUSSELS,https://www.britishpathe.com/asset/191773/,jew,,0,
